States,Years,Quarter,Brands,Transaction_count,Percentage
Andhra Pradesh,2022,1,Samsung,4124296,0.172869
Andhra Pradesh,2022,1,Realme,2864092,0.120048
Andhra Pradesh,2022,1,Oppo,2780974,0.116564
Andhra Pradesh,2022,1,Apple,594003,0.0248975
Andhra Pradesh,2022,1,OnePlus,580737,0.0243414
Andhra Pradesh,2022,1,Motorola,463652,0.0194339
Andhra Pradesh,2022,1,Huawei,401477,0.0168278
Andhra Pradesh,2022,1,Lenovo,222586,0.00932964
Andhra Pradesh,2022,1,Others,1309987,0.0549078
Arunachal Pradesh,2018,1,Xiaomi,5212,0.242475
Arunachal Pradesh,2018,1,Samsung,4354,0.202559
Arunachal Pradesh,2018,1,Vivo,3523,0.163899
Arunachal Pradesh,2018,1,Oppo,2608,0.121331
Arunachal Pradesh,2018,1,Realme,1297,0.0603396
Arunachal Pradesh,2018,1,Apple,628,0.0292161
Arunachal Pradesh,2018,1,Gionee,563,0.0261921
Arunachal Pradesh,2018,1,Lenovo,420,0.0195394
Arunachal Pradesh,2018,1,OnePlus,403,0.0187485
Arunachal Pradesh,2018,1,Motorola,343,0.0159572
Arunachal Pradesh,2018,1,Others,2144,0.0997441
Arunachal Pradesh,2018,2,Xiaomi,8058,0.245051
Arunachal Pradesh,2018,2,Samsung,6633,0.201715
Arunachal Pradesh,2018,2,Vivo,5591,0.170027
Arunachal Pradesh,2018,2,Oppo,4204,0.127847
Arunachal Pradesh,2018,2,Realme,1943,0.0590883
Arunachal Pradesh,2018,2,Apple,869,0.026427
Arunachal Pradesh,2018,2,Gionee,730,0.0221999
Arunachal Pradesh,2018,2,Lenovo,581,0.0176687
Arunachal Pradesh,2018,2,OnePlus,554,0.0168476
Arunachal Pradesh,2018,2,Motorola,514,0.0156312
Arunachal Pradesh,2018,2,Others,3206,0.0974972
Arunachal Pradesh,2018,3,Xiaomi,11250,0.244981
Arunachal Pradesh,2018,3,Samsung,9307,0.20267
Arunachal Pradesh,2018,3,Vivo,8226,0.17913
Arunachal Pradesh,2018,3,Oppo,5992,0.130482
