States,Years,Quarter,District,Transaction_count,Transaction_amount
Andhra Pradesh,2022,1,anantapur district,40613148,90197000000.0
Andhra Pradesh,2022,1,ysr district,29783739,78421700000.0
Andhra Pradesh,2022,1,west godavari district,37271259,92397900000.0
Andhra Pradesh,2022,1,kurnool district,35093633,81568400000.0
Andhra Pradesh,2022,1,chittoor district,58561024,117901000000.0
Andhra Pradesh,2022,1,guntur district,57226996,129674000000.0
Andhra Pradesh,2022,1,krishna district,61826199,139690000000.0
Andhra Pradesh,2022,2,east godavari district,62072845,135531000000.0
Andhra Pradesh,2022,2,srikakulam district,23727353,53754800000.0
Andhra Pradesh,2022,2,spsr nellore district,54838708,121941000000.0
Andhra Pradesh,2022,2,vizianagaram district,21766135,47294700000.0
Andhra Pradesh,2022,2,visakhapatnam district,101387402,193243000000.0
Andhra Pradesh,2022,2,prakasam district,36163507,90435100000.0
Andhra Pradesh,2022,2,anantapur district,46099366,102139000000.0
Andhra Pradesh,2022,2,ysr district,33154559,87601300000.0
Andhra Pradesh,2022,2,west godavari district,44409239,107973000000.0
Andhra Pradesh,2022,2,kurnool district,40165692,92409300000.0
Andhra Pradesh,2022,2,chittoor district,67507661,136435000000.0
Andhra Pradesh,2022,2,guntur district,66315749,147098000000.0
Andhra Pradesh,2022,2,krishna district,73525814,163998000000.0
Andhra Pradesh,2022,3,east godavari district,61467134,129678000000.0
Andhra Pradesh,2022,3,srikakulam district,22126541,46900000000.0
Andhra Pradesh,2022,3,spsr nellore district,42116582,95099300000.0
Andhra Pradesh,2022,3,vizianagaram district,20440645,42513300000.0
Andhra Pradesh,2022,3,visakhapatnam district,97434546,181124000000.0
Andhra Pradesh,2022,3,prakasam district,35376080,87475200000.0
Andhra Pradesh,2022,3,anantapur district,45165363,97735600000.0
Andhra Pradesh,2022,3,ysr district,33119038,86016900000.0
Andhra Pradesh,2022,3,west godavari district,43635951,101707000000.0
Andhra Pradesh,2022,3,kurnool district,39557913,88415300000.0
Andhra Pradesh,2022,3,chittoor district,65751781,133054000000.0
Andhra Pradesh,2022,3,guntur district,65612317,141589000000.0
Andhra Pradesh,2022,3,krishna district,71051144,153771000000.0
Andhra Pradesh,2022,4,east godavari district,68016055,136531000000.0
Andhra Pradesh,2022,4,srikakulam district,23693779,47726400000.0
Andhra Pradesh,2022,4,spsr nellore district,42582064,92085900000.0
Andhra Pradesh,2022,4,vizianagaram district,22205190,44467400000.0
Andhra Pradesh,2022,4,visakhapatnam district,103790055,185306000000.0
Andhra Pradesh,2022,4,prakasam district,37211077,88105000000.0
Andhra Pradesh,2022,4,anantapur district,48299601,101534000000.0
Andhra Pradesh,2022,4,ysr district,35201596,87360400000.0
Andhra Pradesh,2022,4,west godavari district,47919930,105336000000.0
Andhra Pradesh,2022,4,kurnool district,43524766,94667400000.0
Andhra Pradesh,2022,4,chittoor district,70322534,136841000000.0
Andhra Pradesh,2022,4,guntur district,70723763,146939000000.0
Andhra Pradesh,2022,4,krishna district,76526667,157826000000.0
Andhra Pradesh,2023,1,east godavari district,115196449,223455000000.0
Andhra Pradesh,2023,1,srikakulam district,42209999,86486000000.0
Andhra Pradesh,2023,1,spsr nellore district,71318689,143967000000.0
Andhra Pradesh,2023,1,vizianagaram district,38838861,76472400000.0
Andhra Pradesh,2023,1,visakhapatnam district,164358781,277211000000.0
Andhra Pradesh,2023,1,prakasam district,63671149,141673000000.0
Andhra Pradesh,2023,1,anantapur district,82127373,162288000000.0
Andhra Pradesh,2023,1,ysr district,59768512,140118000000.0
Andhra Pradesh,2023,1,west godavari district,79094558,165941000000.0
Andhra Pradesh,2023,1,kurnool district,72405172,149100000000.0
Andhra Pradesh,2023,1,chittoor district,120192355,218037000000.0
Andhra Pradesh,2023,1,guntur district,114246185,226244000000.0
Andhra Pradesh,2023,1,krishna district,122104381,238059000000.0
Andhra Pradesh,2023,2,east godavari district,131243375,245135000000.0
Andhra Pradesh,2023,2,srikakulam district,47633204,93082200000.0
Andhra Pradesh,2023,2,spsr nellore district,82056071,165181000000.0
Andhra Pradesh,2023,2,vizianagaram district,43625851,82671000000.0
Andhra Pradesh,2023,2,visakhapatnam district,184918179,303875000000.0
Andhra Pradesh,2023,2,prakasam district,73598725,158429000000.0
Andhra Pradesh,2023,2,anantapur district,91695174,180050000000.0
Andhra Pradesh,2023,2,ysr district,66809788,156232000000.0
Andhra Pradesh,2023,2,west godavari district,92533269,187700000000.0
Andhra Pradesh,2023,2,kurnool district,81475907,166992000000.0
Andhra Pradesh,2023,2,chittoor district,136283483,245551000000.0
Andhra Pradesh,2023,2,guntur district,132035450,254141000000.0
Andhra Pradesh,2023,2,krishna district,141748488,267001000000.0
Andhra Pradesh,2023,3,east godavari district,148701666,260414000000.0
Andhra Pradesh,2023,3,srikakulam district,51382393,91818200000.0
Andhra Pradesh,2023,3,spsr nellore district,93875073,176594000000.0
Andhra Pradesh,2023,3,vizianagaram district,47856766,83289700000.0
Andhra Pradesh,2023,3,visakhapatnam district,209884966,328927000000.0
Andhra Pradesh,2023,3,prakasam district,84447202,171207000000.0
Andhra Pradesh,2023,3,anantapur district,104539628,192477000000.0
Andhra Pradesh,2023,3,ysr district,76091693,168219000000.0
Andhra Pradesh,2023,3,west godavari district,102962058,191892000000.0
Andhra Pradesh,2023,3,kurnool district,92890445,172979000000.0
Andhra Pradesh,2023,3,chittoor district,152863845,265405000000.0
Andhra Pradesh,2023,3,guntur district,150246761,270652000000.0
Andhra Pradesh,2023,3,krishna district,159421907,279540000000.0
Andhra Pradesh,2023,4,east godavari district,162793144,282329000000.0
Andhra Pradesh,2023,4,srikakulam district,56291337,97021700000.0
Andhra Pradesh,2023,4,spsr nellore district,97721962,179306000000.0
Andhra Pradesh,2023,4,vizianagaram district,53248760,90289500000.0
Andhra Pradesh,2023,4,visakhapatnam district,223584765,344513000000.0
Andhra Pradesh,2023,4,prakasam district,89721677,174930000000.0
Andhra Pradesh,2023,4,anantapur district,113698752,203367000000.0
Andhra Pradesh,2023,4,ysr district,83729195,176645000000.0
Andhra Pradesh,2023,4,west godavari district,114825704,209238000000.0
Andhra Pradesh,2023,4,kurnool district,103816175,190598000000.0
Andhra Pradesh,2023,4,chittoor district,163521593,274132000000.0
Andhra Pradesh,2023,4,guntur district,160724947,281807000000.0
Andhra Pradesh,2023,4,krishna district,173309415,298339000000.0
Andhra Pradesh,2024,1,east godavari district,179489444,306324000000.0
Andhra Pradesh,2024,1,srikakulam district,66267698,118669000000.0
Andhra Pradesh,2024,1,spsr nellore district,108549115,190804000000.0
Andhra Pradesh,2024,1,vizianagaram district,61170983,105673000000.0
Andhra Pradesh,2024,1,visakhapatnam district,238418938,363342000000.0
Andhra Pradesh,2024,1,prakasam district,99550457,187481000000.0
Andhra Pradesh,2024,1,anantapur district,125240418,212682000000.0
Andhra Pradesh,2024,1,ysr district,94211451,190227000000.0
Andhra Pradesh,2024,1,west godavari district,127602250,228733000000.0
Andhra Pradesh,2024,1,kurnool district,115036343,204806000000.0
Andhra Pradesh,2024,1,chittoor district,179903083,289621000000.0
Andhra Pradesh,2024,1,guntur district,173636233,297371000000.0
Andhra Pradesh,2024,1,krishna district,186352072,316994000000.0
Andhra Pradesh,2024,2,east godavari district,197431466,319787000000.0
Andhra Pradesh,2024,2,srikakulam district,70555405,119668000000.0
Andhra Pradesh,2024,2,spsr nellore district,121146667,208460000000.0
Andhra Pradesh,2024,2,vizianagaram district,64618416,106767000000.0
