States,Years,Quarter,Transaction_type,Transaction_count,Transaction_amount
Arunachal Pradesh,2021,2,Recharge & bill payments,556680,165579844
Arunachal Pradesh,2021,2,Merchant payments,243375,283709439
Arunachal Pradesh,2021,2,Financial Services,1582,2761077
Arunachal Pradesh,2021,2,Others,3755,3415105
Arunachal Pradesh,2021,3,Peer-to-peer payments,986088,5033603845
Arunachal Pradesh,2021,3,Recharge & bill payments,600102,187390578
Arunachal Pradesh,2021,3,Merchant payments,314658,449869061
Arunachal Pradesh,2021,3,Financial Services,1934,3348548
Arunachal Pradesh,2021,3,Others,4185,3912143
Arunachal Pradesh,2021,4,Peer-to-peer payments,1227616,6022733378
Arunachal Pradesh,2021,4,Recharge & bill payments,633248,207784816
Arunachal Pradesh,2021,4,Merchant payments,521447,704195695
Arunachal Pradesh,2021,4,Financial Services,2386,3933557
Arunachal Pradesh,2021,4,Others,5901,4862906
Arunachal Pradesh,2022,1,Peer-to-peer payments,1403584,6670641250
Arunachal Pradesh,2022,1,Merchant payments,720803,917155359
Arunachal Pradesh,2022,1,Recharge & bill payments,670576,231933129
Arunachal Pradesh,2022,1,Financial Services,3053,3359626
Arunachal Pradesh,2022,1,Others,6052,5002264
Arunachal Pradesh,2022,2,Peer-to-peer payments,1751568,7627061475
Arunachal Pradesh,2022,2,Merchant payments,1108353,1255513517
Arunachal Pradesh,2022,2,Recharge & bill payments,688770,241162643
Arunachal Pradesh,2022,2,Financial Services,2466,4063469
Arunachal Pradesh,2022,2,Others,5768,3864270
Arunachal Pradesh,2022,3,Peer-to-peer payments,1967086,7365427284
Arunachal Pradesh,2022,3,Merchant payments,1316326,1413247143
Arunachal Pradesh,2022,3,Recharge & bill payments,649322,238448084
Arunachal Pradesh,2022,3,Financial Services,1997,4763325
Arunachal Pradesh,2022,3,Others,4687,3224949
Arunachal Pradesh,2022,4,Peer-to-peer payments,2251135,7768088688
Arunachal Pradesh,2022,4,Merchant payments,1704968,1669602213
Arunachal Pradesh,2022,4,Recharge & bill payments,669151,239412554
Arunachal Pradesh,2022,4,Financial Services,2617,3785469
Arunachal Pradesh,2022,4,Others,4838,4020774
Arunachal Pradesh,2023,1,Peer-to-peer payments,3879583,13170741327
Arunachal Pradesh,2023,1,Merchant payments,2922784,2802762028
Arunachal Pradesh,2023,1,Recharge & bill payments,1229475,409663161
Arunachal Pradesh,2023,1,Financial Services,4142,6310412
Arunachal Pradesh,2023,1,Others,6841,5101526
Arunachal Pradesh,2023,2,Peer-to-peer payments,4883817,15695323405
Arunachal Pradesh,2023,2,Merchant payments,4091876,3651614280
Arunachal Pradesh,2023,2,Recharge & bill payments,1374689,447452168
Arunachal Pradesh,2023,2,Financial Services,3392,5815474
Arunachal Pradesh,2023,2,Others,6714,5493337
Arunachal Pradesh,2023,3,Peer-to-peer payments,5889357,16351752522
Arunachal Pradesh,2023,3,Merchant payments,5451474,4277046551
Arunachal Pradesh,2023,3,Recharge & bill payments,1450780,482412481
Arunachal Pradesh,2023,3,Financial Services,4825,11365670
Arunachal Pradesh,2023,3,Others,5997,4813862
Arunachal Pradesh,2023,4,Peer-to-peer payments,6678381,18554712209
Arunachal Pradesh,2023,4,Merchant payments,6435278,5043099494
Arunachal Pradesh,2023,4,Recharge & bill payments,1491471,515181105
Arunachal Pradesh,2023,4,Financial Services,5573,11079378
Arunachal Pradesh,2023,4,Others,7039,4727608
Arunachal Pradesh,2024,1,Merchant payments,7491171,5669482843
Arunachal Pradesh,2024,1,Peer-to-peer payments,7238315,19793142980
Arunachal Pradesh,2024,1,Recharge & bill payments,1664938,568014875
Arunachal Pradesh,2024,1,Financial Services,6408,13072238
Arunachal Pradesh,2024,1,Others,5582,3331540
Arunachal Pradesh,2024,2,Merchant payments,9567105,6815204405
Arunachal Pradesh,2024,2,Peer-to-peer payments,8120757,22271137791
Arunachal Pradesh,2024,2,Recharge & bill payments,1776684,595957635
Arunachal Pradesh,2024,2,Financial Services,7896,20769976
Arunachal Pradesh,2024,2,Others,5930,3281823
Arunachal Pradesh,2024,3,Merchant payments,12464040,7709848647
Arunachal Pradesh,2024,3,Peer-to-peer payments,10083155,23214155044
Arunachal Pradesh,2024,3,Recharge & bill payments,1886589,653172013
Arunachal Pradesh,2024,3,Financial Services,8170,21220623
Arunachal Pradesh,2024,3,Others,5188,3560378
Arunachal Pradesh,2024,4,Merchant payments,14117429,8515314488
Arunachal Pradesh,2024,4,Peer-to-peer payments,10758583,25848886063
Arunachal Pradesh,2024,4,Recharge & bill payments,1886780,695358159
Arunachal Pradesh,2024,4,Financial Services,25593,16838759
Arunachal Pradesh,2024,4,Others,5072,3489404
Assam,2018,1,Recharge & bill payments,632092,93491181
Assam,2018,1,Peer-to-peer payments,318025,993525196
Assam,2018,1,Merchant payments,40482,34501623
Assam,2018,1,Financial Services,18172,4936862
Assam,2018,1,Others,48110,31349594
Assam,2018,2,Recharge & bill payments,984160,174427478
Assam,2018,2,Peer-to-peer payments,530781,2064314053
Assam,2018,2,Merchant payments,79307,73366345
Assam,2018,2,Financial Services,22773,7051505
Assam,2018,2,Others,46852,31425755
Assam,2018,3,Recharge & bill payments,1275136,254569069
Assam,2018,3,Peer-to-peer payments,843571,3424136710
Assam,2018,3,Merchant payments,159532,96783839
Assam,2018,3,Financial Services,22677,4741124
Assam,2018,3,Others,50935,30904248
Assam,2018,4,Recharge & bill payments,1703488,317661277
Assam,2018,4,Peer-to-peer payments,1279089,5284776455
Assam,2018,4,Merchant payments,667293,240563395
Assam,2018,4,Financial Services,28035,6331913
Assam,2018,4,Others,56267,38689819
Assam,2019,1,Recharge & bill payments,1993220,400281678
Assam,2019,1,Peer-to-peer payments,1976310,7291433301
Assam,2019,1,Merchant payments,494871,266644646
Assam,2019,1,Financial Services,20162,4612454
Assam,2019,1,Others,48442,39127458
Assam,2019,2,Recharge & bill payments,2512932,539315773
Assam,2019,2,Peer-to-peer payments,2293770,10035232821
Assam,2019,2,Merchant payments,573646,326844710
Assam,2019,2,Financial Services,13654,4037222
Assam,2019,2,Others,60927,49538663
Assam,2019,3,Peer-to-peer payments,2713539,11835800855
Assam,2019,3,Recharge & bill payments,2645302,639885373
Assam,2019,3,Merchant payments,513728,421380275
Assam,2019,3,Financial Services,8606,6403456
Assam,2019,3,Others,61396,46973661
Assam,2019,4,Peer-to-peer payments,3222143,14083346879
Assam,2019,4,Recharge & bill payments,2937800,704118874
Assam,2019,4,Merchant payments,544053,456318130
Assam,2019,4,Financial Services,9621,3492255
Assam,2019,4,Others,46893,34707757
Assam,2020,1,Peer-to-peer payments,4058740,18977446152
